'Date','Sleep Time','Awake Time','Duration','Rating'
'09-24-2015','02:25 am','08:40 am','06 hr 15 min',''
'09-23-2015','01:38 am','08:40 am','07 hr 02 min',''
'09-22-2015','01:09 am','08:00 am','06 hr 51 min',''
'09-21-2015','01:45 am','08:36 am','06 hr 51 min',''
'09-20-2015','01:50 am','09:30 am','07 hr 40 min',''
'09-19-2015','02:25 am','10:15 am','07 hr 50 min',''
'09-18-2015','01:29 am','08:50 am','07 hr 21 min',''
'09-17-2015','02:28 am','08:30 am','06 hr 02 min',''
'09-16-2015','02:08 am','08:36 am','06 hr 28 min',''
'09-15-2015','02:35 am','08:31 am','05 hr 56 min',''
'09-14-2015','02:28 am','08:38 am','06 hr 10 min',''
'09-13-2015','03:01 am','10:30 am','07 hr 29 min',''
'09-12-2015','02:22 am','11:38 am','09 hr 16 min',''
'09-11-2015','02:37 am','09:18 am','06 hr 41 min',''
'09-10-2015','03:20 am','09:30 am','06 hr 10 min',''
'09-09-2015','01:35 am','08:28 am','06 hr 53 min',''
'09-08-2015','12:52 am','08:25 am','07 hr 33 min',''
'09-07-2015','12:35 am','08:25 am','07 hr 50 min',''
'09-06-2015','01:02 am','07:39 am','06 hr 37 min',''
'09-05-2015','02:51 am','08:45 am','05 hr 55 min',''
'09-03-2015','12:56 am','08:00 am','07 hr 05 min',''
'09-02-2015','01:50 am','08:00 am','06 hr 10 min',''
'09-01-2015','01:33 am','08:00 am','06 hr 28 min',''
'08-31-2015','01:11 am','08:08 am','06 hr 57 min',''
'08-27-2015','02:25 am','08:42 am','06 hr 17 min',''
'08-26-2015','01:35 am','08:28 am','06 hr 53 min',''
'08-25-2015','01:43 am','08:10 am','06 hr 27 min',''
'08-24-2015','01:47 am','08:26 am','06 hr 39 min',''
'08-23-2015','02:41 am','10:30 am','07 hr 49 min',''
'08-22-2015','03:08 am','09:12 am','06 hr 04 min',''
'08-21-2015','01:28 am','08:00 am','06 hr 32 min',''
'08-20-2015','12:58 am','09:00 am','08 hr 02 min',''
'08-19-2015','02:00 am','09:00 am','07 hr 00 min',''
'08-18-2015','01:27 am','08:48 am','07 hr 21 min',''
'08-17-2015','01:02 am','08:00 am','06 hr 58 min',''
'08-16-2015','02:20 am','09:10 am','06 hr 50 min',''
'08-15-2015','03:17 am','11:20 am','08 hr 03 min',''
'08-14-2015','02:21 am','09:50 am','07 hr 29 min',''
'08-13-2015','02:41 am','09:00 am','06 hr 19 min',''
'08-12-2015','02:27 am','09:10 am','06 hr 43 min',''
'08-11-2015','01:58 am','08:00 am','06 hr 02 min',''
'08-10-2015','02:27 am','09:08 am','06 hr 41 min',''
'08-09-2015','02:53 am','10:00 am','07 hr 07 min',''
'08-08-2015','02:48 am','11:08 am','08 hr 20 min',''
'08-07-2015','01:24 am','08:00 am','06 hr 36 min',''
'08-05-2015','02:04 am','09:00 am','06 hr 56 min',''
'08-04-2015','01:23 am','08:30 am','07 hr 07 min',''
'08-03-2015','02:28 am','10:00 am','07 hr 32 min',''
'08-02-2015','02:28 am','10:13 am','07 hr 45 min',''
'08-01-2015','01:42 am','09:00 am','07 hr 18 min',''
'07-31-2015','02:24 am','09:13 am','06 hr 49 min',''
'07-30-2015','01:11 am','09:00 am','07 hr 49 min',''
'07-29-2015','02:16 am','08:35 am','06 hr 19 min',''
'07-28-2015','01:07 am','08:40 am','07 hr 33 min',''
'07-27-2015','02:13 am','10:18 am','08 hr 05 min',''
'07-26-2015','02:29 am','10:20 am','07 hr 51 min',''
'07-25-2015','02:50 am','10:50 am','08 hr 00 min',''
'07-24-2015','01:20 am','08:30 am','07 hr 10 min',''
'07-23-2015','01:44 am','10:00 am','08 hr 16 min',''
'07-22-2015','01:04 am','08:15 am','07 hr 11 min',''
'07-21-2015','12:50 am','08:20 am','07 hr 30 min',''
'07-20-2015','01:28 am','10:10 am','08 hr 42 min',''
'07-19-2015','02:13 am','10:52 am','08 hr 39 min',''
'07-18-2015','02:32 am','09:10 am','06 hr 38 min',''
'07-17-2015','01:06 am','09:20 am','08 hr 14 min',''
'07-16-2015','02:32 am','09:40 am','07 hr 08 min',''
'07-15-2015','12:44 am','08:00 am','07 hr 17 min',''
'07-13-2015','01:01 am','08:45 am','07 hr 44 min',''
'07-12-2015','02:00 am','10:16 am','08 hr 16 min',''
'07-11-2015','02:53 am','11:15 am','08 hr 22 min',''
'07-10-2015','12:59 am','08:00 am','07 hr 01 min',''
'07-09-2015','12:26 am','08:00 am','07 hr 34 min',''
'07-08-2015','12:54 am','09:30 am','08 hr 36 min',''
'07-07-2015','01:01 am','08:10 am','07 hr 09 min',''
'07-06-2015','01:19 am','08:45 am','07 hr 26 min',''
'07-05-2015','02:08 am','10:40 am','08 hr 32 min',''
'07-04-2015','02:49 am','11:00 am','08 hr 11 min',''
'07-03-2015','01:12 am','08:15 am','07 hr 03 min',''
'07-02-2015','01:28 am','08:30 am','07 hr 02 min',''
'07-01-2015','02:00 am','09:00 am','07 hr 00 min',''
